shape_id,shape_pt_sequence,shape_pt_lat,shape_pt_lon
15JUNE-100413,90001,47.300034,-122.578115
15JUNE-100413,90002,47.300034,-122.578135
15JUNE-100413,90003,47.300024,-122.578265
15JUNE-100413,90004,47.299984,-122.578345
15JUNE-100413,90005,47.299914,-122.578375
15JUNE-100413,90006,47.299784,-122.578395
15JUNE-100413,90007,47.299664,-122.578475
15JUNE-100413,90008,47.299564,-122.578585
15JUNE-100413,90009,47.299494,-122.578755
15JUNE-100413,90010,47.299444,-122.578945
15JUNE-100413,90011,47.299444,-122.579275
15JUNE-100413,90012,47.299584,-122.579273
15JUNE-100413,100001,47.299584,-122.579273
15JUNE-100413,100002,47.300654,-122.579255
15JUNE-100413,100003,47.301237,-122.579243
15JUNE-100413,110001,47.301237,-122.579243
15JUNE-100413,110002,47.301654,-122.579235
15JUNE-100413,110003,47.303249,-122.579209
15JUNE-100413,120001,47.303249,-122.579209
15JUNE-100413,120002,47.304054,-122.579195
15JUNE-100413,120003,47.304054,-122.579145
15JUNE-100413,120004,47.304074,-122.578855
15JUNE-100413,120005,47.304124,-122.578495
15JUNE-100413,120006,47.304174,-122.578235
15JUNE-100413,120007,47.304244,-122.578015
15JUNE-100413,120008,47.304324,-122.577815
15JUNE-100413,120009,47.304444,-122.577595
15JUNE-100413,120010,47.304634,-122.577335
15JUNE-100413,120011,47.305224,-122.576575
15JUNE-100413,120012,47.305384,-122.576365
15JUNE-100413,120013,47.305984,-122.575625
15JUNE-100413,120014,47.306434,-122.575075
15JUNE-100413,120015,47.306624,-122.574895
15JUNE-100413,120016,47.306834,-122.574745
15JUNE-100413,120017,47.306954,-122.574685
15JUNE-100413,120018,47.307204,-122.574625
15JUNE-100413,120019,47.307454,-122.574595
15JUNE-100413,120020,47.307684,-122.574625
15JUNE-100413,120021,47.307894,-122.574705
15JUNE-100413,120022,47.308084,-122.574825
15JUNE-100413,120023,47.308254,-122.574975
15JUNE-100413,120024,47.308354,-122.575065
15JUNE-100413,120025,47.308524,-122.575275
15JUNE-100413,120026,47.308714,-122.575595
15JUNE-100413,120027,47.308824,-122.575855
15JUNE-100413,120028,47.308934,-122.576155
15JUNE-100413,120029,47.309064,-122.576515
15JUNE-100413,120030,47.309444,-122.577555
15JUNE-100413,120031,47.309452,-122.577574
15JUNE-100413,130001,47.309452,-122.577574
15JUNE-100413,130002,47.309634,-122.578025
15JUNE-100413,130003,47.309754,-122.578245
15JUNE-100413,130004,47.309894,-122.578445
15JUNE-100413,130005,47.310134,-122.578695
15JUNE-100413,130006,47.310344,-122.578845
15JUNE-100413,130007,47.310584,-122.578955
15JUNE-100413,130008,47.310834,-122.579015
15JUNE-100413,130009,47.311024,-122.579035
15JUNE-100413,130010,47.311202,-122.579051
15JUNE-100413,140001,47.311202,-122.579051
15JUNE-100413,140002,47.311244,-122.579055
15JUNE-100413,140003,47.311604,-122.579075
15JUNE-100413,140004,47.312004,-122.579075
15JUNE-100413,140005,47.312394,-122.579065
15JUNE-100413,140006,47.312394,-122.579065
15JUNE-100413,150001,47.312394,-122.579065
15JUNE-100413,150002,47.312654,-122.579065
15JUNE-100413,150003,47.313634,-122.579065
15JUNE-100413,150004,47.313814,-122.579055
15JUNE-100413,150005,47.313954,-122.579055
15JUNE-100413,150006,47.314230,-122.579055
15JUNE-100413,160001,47.314230,-122.579055
15JUNE-100413,160002,47.314344,-122.579055
15JUNE-100413,160003,47.314864,-122.579045
15JUNE-100413,160004,47.315114,-122.579045
15JUNE-100413,160005,47.315500,-122.579038
15JUNE-100413,170001,47.315500,-122.579038
15JUNE-100413,170002,47.316254,-122.579025
15JUNE-100413,170003,47.316234,-122.579705
15JUNE-100413,170004,47.316224,-122.582485
15JUNE-100413,170005,47.316224,-122.582885
15JUNE-100413,170006,47.316224,-122.583306
15JUNE-100413,180001,47.316224,-122.583306
15JUNE-100413,180002,47.316224,-122.584595
15JUNE-100413,180003,47.316254,-122.584815
15JUNE-100413,180004,47.316314,-122.584995
15JUNE-100413,180005,47.316414,-122.585145
15JUNE-100413,180006,47.317764,-122.586385
15JUNE-100413,180007,47.317962,-122.586527
15JUNE-100413,180008,47.318044,-122.586585
15JUNE-100413,180009,47.317984,-122.586817
15JUNE-100413,180010,47.318451,-122.587138
15JUNE-100413,190001,47.318451,-122.587138
15JUNE-100413,190002,47.318550,-122.587207
15JUNE-100413,190003,47.318664,-122.586885
15JUNE-100413,190004,47.318794,-122.586915
15JUNE-100413,190005,47.319044,-122.586955
15JUNE-100413,190006,47.320513,-122.586946
15JUNE-100413,200001,47.320513,-122.586946
15JUNE-100413,200002,47.320664,-122.586945
15JUNE-100413,200003,47.320784,-122.586955
15JUNE-100413,200004,47.321004,-122.587005
15JUNE-100413,200005,47.321114,-122.587045
15JUNE-100413,200006,47.321314,-122.587145
15JUNE-100413,200007,47.321534,-122.587325
15JUNE-100413,200008,47.321875,-122.587667
15JUNE-100413,210001,47.321875,-122.587667
15JUNE-100413,210002,47.321914,-122.587705
15JUNE-100413,210003,47.322274,-122.588085
15JUNE-100413,210004,47.322624,-122.588505
15JUNE-100413,210005,47.322894,-122.588205
15JUNE-100413,210006,47.323334,-122.587715
15JUNE-100413,210007,47.323484,-122.587545
15JUNE-100413,210008,47.324104,-122.586845
15JUNE-100413,210009,47.324354,-122.586585
15JUNE-100413,210010,47.324884,-122.586005
15JUNE-100413,210011,47.324954,-122.585935
15JUNE-100413,210012,47.326114,-122.584625
15JUNE-100413,210013,47.327464,-122.583105
15JUNE-100413,210014,47.327768,-122.582757
15JUNE-100413,220001,47.327768,-122.582757
15JUNE-100413,220002,47.328094,-122.582385
15JUNE-100413,220003,47.328034,-122.582195
