trip_id,route_id,service_id,trip_headsign,block_id,shape_id
724,33,3,Inbound,6601,81
144,8,1,Inbound,4406,34
977,13,1,Outbound,4403,72
1970,17,1,Outbound,6701,41
257,7,2,Outbound,4102,4
2038,20,1,Inbound,9403,10
1737,9,1,Inbound,1202,69
247,2,3,Outbound,1201,33
1423,1,1,Inbound,1202,73
947,10,1,Inbound,6804,7
1184,16,3,Inbound,6601,19
1015,14,1,Outbound,6604,54
2396,23,3,Inbound,9902,27
1146,16,2,Inbound,6603,19
864,29,1,Outbound,6201,61
1284,35,2,Outbound,1011,20
314,7,3,Outbound,4101,4
1336,35,2,Inbound,1012,77
1778,10,3,Outbound,6001,29
2328,11,2,Inbound,6605,3
245,2,3,Outbound,1201,33
2104,36,1,Outbound,4131,79
2411,39,1,Outbound,9927,60
1669,5,1,Outbound,6002,1
1012,13,2,Inbound,6201,22
292,7,2,Inbound,4101,0
704,33,3,Outbound,6602,24
510,12,2,Outbound,6001,21
1782,10,3,Inbound,6002,7
242,1,3,Outbound,6401,35
387,8,3,Outbound,4403,9
619,11,1,Outbound,9401,2
2058,20,2,Outbound,9401,37
58,7,1,Outbound,4101,4
147,8,1,Inbound,6202,34
1758,9,2,Inbound,1202,17
581,16,3,Outbound,6603,15
326,7,3,Outbound,4101,4
2047,20,1,Inbound,9404,10
1600,7,1,Inbound,4121,0
380,8,3,Outbound,4404,9
2375,14,2,Inbound,6202,75
128,8,1,Inbound,4401,34
2419,39,1,Inbound,9927,45
1366,37,1,Outbound,9902,39
1074,15,1,Outbound,6402,53
1507,2,1,Inbound,6601,42
1904,15,1,Inbound,6401,58
1819,12,1,Inbound,6002,25
2071,20,2,Inbound,9402,10
2369,14,2,Inbound,4405,75
408,10,2,Outbound,6001,29
2142,29,2,Outbound,4301,61
570,16,3,Outbound,6604,15
1438,1,2,Inbound,1201,51
296,7,2,Inbound,4101,0
224,1,2,Outbound,6403,35
2158,18,3,Outbound,6802,55
1296,35,2,Outbound,1011,20
1651,5,2,Outbound,6001,1
1392,1,1,Outbound,1202,35
1878,13,3,Inbound,4401,22
896,8,2,Inbound,4401,34
1054,14,2,Inbound,6204,75
424,14,2,Outbound,4402,48
870,29,1,Inbound,4405,57
1672,5,1,Outbound,6011,1
957,10,1,Inbound,6804,7
2288,11,2,Outbound,6603,2
999,13,1,Inbound,4404,63
251,2,3,Outbound,1201,33
942,10,1,Inbound,6802,7
1237,18,2,Outbound,6802,55
2177,35,1,Inbound,1012,8
132,8,1,Inbound,4405,34
605,11,1,Outbound,9403,2
1649,5,2,Outbound,6002,1
1422,1,1,Inbound,1201,73
159,11,1,Inbound,9405,3
1421,1,1,Inbound,1202,73
2150,29,2,Inbound,4301,57
348,7,3,Inbound,4102,0
2199,35,1,Inbound,1012,8
1154,16,2,Inbound,6601,19
985,13,1,Inbound,4401,63
36,7,1,Outbound,4101,4
1052,14,2,Inbound,4404,75
855,29,1,Outbound,4401,61
231,1,2,Outbound,6401,35
1216,18,1,Inbound,6803,28
2023,20,1,Outbound,9401,67
1792,12,1,Outbound,6001,52
847,7,3,Outbound,4101,4
716,33,3,Inbound,6601,81
1446,1,2,Inbound,1201,51
112,8,1,Outbound,4406,9
357,8,2,Outbound,4402,9
1401,1,1,Outbound,1201,35
575,16,3,Outbound,6601,15
2078,20,3,Inbound,9401,10
294,7,2,Inbound,4101,0
1866,13,3,Outbound,4402,44
1215,18,1,Inbound,6802,28
486,29,1,Inbound,4406,57
1534,2,1,Inbound,6605,42
1180,16,3,Inbound,6601,19
344,7,3,Inbound,4102,0
1197,18,1,Outbound,6802,16
1754,9,2,Outbound,1202,18
1938,15,2,Inbound,6403,58
625,23,2,Inbound,9901,27
209,16,1,Outbound,6601,43
2376,14,2,Inbound,6203,75
56,7,1,Outbound,4101,4
578,16,3,Outbound,6604,15
1434,1,1,Inbound,6604,85
1955,15,3,Inbound,6402,58
2240,35,1,Outbound,1011,5
2269,35,1,Outbound,1012,5
907,10,1,Outbound,6801,29
954,10,1,Inbound,6802,7
1202,18,1,Outbound,6811,16
1042,14,2,Outbound,6403,48
874,29,1,Inbound,4402,57
514,12,2,Outbound,6002,21
1552,2,3,Inbound,6402,42
1370,21,1,Outbound,9921,30
1713,9,1,Outbound,1202,18
1,2,1,Outbound,6601,33
1886,14,1,Inbound,4403,70
298,7,2,Inbound,4101,0
20,2,1,Outbound,6605,33
2062,20,2,Inbound,9401,10
149,8,1,Inbound,6204,34
1860,13,3,Outbound,4404,44
1913,15,1,Inbound,6401,58
1194,18,1,Outbound,6802,16
693,33,3,Outbound,6603,24
1845,12,3,Inbound,6003,25
310,7,3,Outbound,4101,4
937,10,1,Inbound,6804,7
1206,18,1,Outbound,6801,74
603,11,1,Outbound,9402,2
2039,20,1,Inbound,9401,10
1946,15,3,Outbound,6403,53
351,8,2,Outbound,4404,9
588,16,3,Outbound,6602,15
1838,12,3,Outbound,6001,21
856,29,1,Outbound,4403,61
2264,35,1,Outbound,1011,5
1910,15,1,Inbound,6402,58
981,13,1,Inbound,4404,63
451,2,1,Outbound,6604,33
2161,18,3,Outbound,6801,55
1747,9,2,Outbound,1201,18
1420,1,1,Inbound,1201,73
2168,18,3,Outbound,6802,55
1923,15,1,Inbound,6422,58
2102,36,1,Outbound,4131,79
2169,23,3,Outbound,9902,56
2110,36,2,Inbound,4131,78
1931,15,2,Inbound,6402,58
172,11,1,Inbound,9401,3
1829,12,1,Inbound,6001,46
1650,5,2,Outbound,6003,1
447,14,3,Outbound,4401,48
24,2,1,Outbound,6604,33
1749,9,2,Outbound,1201,18
1606,7,2,Outbound,4102,4
464,2,2,Outbound,6403,33
1120,16,1,Inbound,6601,19
1377,21,1,Inbound,9912,32
1853,13,1,Outbound,6203,72
2179,35,1,Inbound,1012,8
156,8,1,Inbound,4403,34
1820,12,1,Inbound,6001,25
2362,14,2,Outbound,6202,48
2254,35,1,Outbound,1011,5
1201,18,1,Outbound,6804,16
537,16,1,Outbound,6603,43
2188,35,1,Inbound,1011,8
560,16,2,Outbound,6605,15
2321,11,2,Inbound,6603,3
237,1,3,Outbound,6402,35
1790,10,3,Inbound,6001,7
482,29,1,Inbound,6202,57
1735,9,1,Inbound,1202,69
557,16,2,Outbound,6602,15
333,7,3,Inbound,4101,0
1040,14,1,Inbound,4407,70
2026,20,1,Outbound,9401,67
1591,7,1,Outbound,4122,4
1646,5,2,Outbound,6002,1
1842,12,3,Inbound,6003,25
2203,35,1,Inbound,1012,8
230,1,2,Outbound,6403,35
990,13,1,Inbound,4406,63
1323,35,2,Inbound,1011,77
1498,2,1,Inbound,4102,42
964,13,1,Outbound,4403,72
948,10,1,Inbound,6802,7
2315,11,2,Inbound,6602,3
1497,2,1,Inbound,6601,42
568,16,2,Outbound,6603,15
2180,35,1,Inbound,1011,8
1803,12,1,Outbound,6022,52
1248,18,2,Inbound,6801,28
463,2,2,Outbound,1202,33
2097,23,2,Outbound,9902,56
1597,7,1,Inbound,4111,0
241,1,3,Outbound,6403,35
116,8,1,Outbound,6203,9
1327,35,2,Inbound,1011,77
2280,11,2,Outbound,6605,2
878,8,2,Outbound,4403,9
30,7,1,Outbound,4103,4
2131,11,1,Inbound,9404,3
898,8,2,Inbound,6201,34
988,13,1,Inbound,4404,63
1105,16,1,Inbound,6601,19
1090,15,2,Outbound,6403,53
1448,1,2,Inbound,6403,51
3,2,1,Outbound,6603,33
963,13,1,Outbound,4401,72
1245,18,2,Inbound,6802,28
1019,14,1,Outbound,6203,54
2332,13,2,Outbound,6204,44
719,33,3,Inbound,6604,81
1981,17,1,Inbound,6701,12
1796,12,1,Outbound,6001,52
889,8,2,Outbound,6202,9
709,33,3,Inbound,6602,81
1644,5,2,Outbound,6003,1
2166,18,3,Outbound,6802,55
2298,11,2,Outbound,6603,2
1777,10,3,Outbound,6003,29
2027,20,1,Outbound,9403,80
316,7,3,Outbound,4101,4
2096,23,2,Outbound,9902,56
853,29,1,Outbound,6201,61
192,14,1,Outbound,4403,54
2042,20,1,Inbound,9404,10
1463,2,1,Outbound,4101,33
385,8,3,Outbound,4401,9
1733,9,1,Inbound,1202,69
1889,14,1,Inbound,6202,70
582,16,3,Outbound,6604,15
544,16,2,Outbound,6604,15
978,13,1,Outbound,4405,72
1896,14,1,Inbound,4405,70
2090,23,2,Outbound,9901,56
197,14,1,Outbound,6204,54
2353,13,2,Inbound,6202,22
64,7,1,Inbound,4103,0
1892,14,1,Inbound,4401,70
1276,35,2,Outbound,1011,20
899,8,2,Inbound,6203,34
2088,23,3,Outbound,9901,56
202,14,1,Outbound,4401,65
1467,2,1,Outbound,4101,33
2025,20,1,Outbound,9404,67
2324,11,2,Inbound,6601,3
1982,17,1,Inbound,6701,12
1454,1,3,Inbound,1201,51
1311,35,2,Inbound,1011,77
541,16,1,Outbound,6601,43
285,7,2,Inbound,4102,0
2093,23,2,Outbound,9901,56
199,14,1,Outbound,4404,54
2407,39,1,Outbound,9926,60
2016,20,1,Outbound,9402,84
68,7,1,Inbound,4103,0
1474,2,1,Outbound,4104,33
497,10,2,Inbound,6001,7
1762,9,2,Inbound,1202,17
601,11,1,Outbound,9401,2
1952,15,3,Inbound,6402,58
1181,16,3,Inbound,6602,19
382,8,3,Outbound,4402,9
1082,15,1,Outbound,6402,59
1921,15,1,Inbound,6421,58
1817,12,1,Inbound,6002,25
2029,20,1,Outbound,9404,80
212,16,1,Outbound,6602,43
496,10,2,Inbound,6003,7
1696,5,1,Inbound,6002,23
2379,14,2,Inbound,4401,75
1731,9,1,Inbound,1202,69
318,7,3,Outbound,4101,4
1559,2,3,Inbound,6403,42
178,11,1,Inbound,9402,3
1862,13,3,Outbound,4402,44
2330,13,2,Outbound,6202,44
607,11,1,Outbound,9403,2
1679,5,1,Outbound,6002,1
1067,14,3,Inbound,4402,75
13,2,1,Outbound,6603,33
