trip_id,route_id,service_id,block_id,shape_id
2106,81,1,502,57
830,59,1,3004,19
432,49,2,7201,37
2140,80,1,3453,7
1794,96,3,7102,13
3146,96,4,7102,13
2508,75,4,901,50
1372,82,1,302,21
3091,96,4,7102,17
3124,96,4,7103,13
611,46,3,3201,6
2397,57,4,404,0
2616,40,4,9202,31
389,54,1,6501,24
2110,81,1,502,57
2682,89,4,1901,23
1224,57,2,401,16
2919,54,4,6501,30
1639,54,3,6501,30
1697,18,1,3701,9
1199,57,2,405,0
1891,18,2,3705,9
1463,45,1,2502,27
2322,89,1,1901,4
1343,57,3,404,16
1955,18,3,3703,9
1557,40,1,9202,31
625,46,3,3201,5
2067,96,1,7101,13
841,59,1,3003,19
3072,96,4,7103,17
2213,96,2,7101,17
815,59,1,3004,18
2864,39,4,8002,1
2243,96,2,7102,13
962,57,1,406,49
2761,59,4,3004,18
527,39,1,8001,1
1566,40,2,9202,31
87,59,2,3002,19
2183,96,2,7101,17
2282,95,1,3801,10
468,83,1,4451,52
3047,18,4,3801,15
291,46,1,3201,5
1264,57,3,405,0
228,57,1,404,0
2723,45,4,2501,27
900,54,1,6551,24
935,67,1,404,64
1647,54,3,6501,30
14,67,1,6454,67
2284,81,1,501,48
2235,96,2,7101,13
2896,54,4,6501,24
810,59,1,3003,18
1022,47,1,3901,44
2904,54,4,6501,24
1035,47,1,3901,45
2654,82,4,301,21
1432,45,2,2501,27
371,49,1,7201,37
2816,49,4,7201,3
3170,67,4,6451,67
3073,96,4,7102,17
19,67,1,6454,67
700,75,1,901,43
847,59,1,3001,25
3098,96,4,7101,17
123,40,2,9201,2
2612,40,4,9202,31
2540,18,4,3702,9
882,54,1,6502,30
685,59,2,3001,68
2990,81,4,552,57
1436,45,2,2501,27
762,46,2,3201,6
2273,81,1,554,38
128,40,2,9201,2
638,39,2,8002,35
1417,82,3,302,29
2953,81,4,502,60
525,39,1,8003,1
2687,89,4,1901,22
1119,86,2,201,36
2496,84,4,702,55
2545,18,4,3803,9
603,88,3,7801,8
2423,57,4,404,16
2130,80,1,3404,70
1470,45,1,2503,27
2847,88,4,7801,8
1353,82,1,301,29
2690,89,4,1901,22
476,39,1,8003,35
772,46,2,3201,5
1344,57,2,403,16
1874,18,2,3702,9
2245,96,2,7103,13
661,39,3,8001,35
2611,40,4,9201,31
1222,57,2,403,16
2083,81,1,503,12
541,88,1,7801,20
1544,40,1,9201,31
178,54,2,6501,30
2384,57,4,402,0
1115,86,2,201,36
888,54,1,6502,30
1235,57,2,406,16
1776,96,3,7102,13
1919,18,3,3701,15
3081,96,4,7103,17
739,39,1,8003,1
2641,86,4,201,36
22,56,1,7701,80
2960,81,4,502,48
2470,84,4,701,53
2338,57,4,407,0
3109,96,4,7101,13
1137,75,2,901,43
1944,18,3,3702,9
2704,45,4,2501,47
132,40,2,9201,2
1746,95,1,3802,10
2775,46,4,3201,6
224,57,1,407,0
1934,18,3,3701,15
1937,18,3,3701,15
3189,95,4,3803,26
570,88,2,7801,20
861,67,1,6454,75
1947,18,3,3702,9
2810,49,4,7201,3
1168,57,2,403,0
485,39,1,8003,35
2399,57,4,406,49
2305,89,1,1901,4
2888,39,4,8002,35
2064,96,1,7101,13
2196,96,2,7103,17
1514,89,2,1901,23
1511,89,2,1901,23
1709,18,1,3801,9
662,39,3,8002,35
2141,80,1,3454,7
1528,89,2,1901,22
1363,82,1,301,29
2662,82,4,302,29
1457,45,1,2502,27
423,49,2,7201,37
896,54,1,6551,24
2263,81,1,504,12
1332,57,3,404,16
2910,54,4,6501,24
2483,84,4,702,53
2656,82,4,301,87
1985,96,1,7101,17
963,61,1,9004,33
2980,81,4,501,57
274,46,1,3201,6
897,54,1,6501,24
251,57,1,407,49
1963,18,3,3701,9
1492,45,1,2501,47
2955,81,4,501,60
944,67,1,6406,64
2731,59,4,3004,19
472,59,1,3004,46
2490,84,4,702,55
112,59,3,3002,19
977,45,3,2501,27
821,59,1,3003,19
419,49,2,7201,3
1412,82,2,302,29
1380,82,1,302,21
1713,18,1,3702,9
1381,82,1,302,21
790,59,1,3003,18
422,49,2,7201,37
1897,18,2,3703,9
1088,57,1,404,16
406,54,1,6501,30
1895,18,2,3701,9
1030,47,1,3901,45
2253,96,2,7101,13
295,46,1,3201,5
2653,82,4,301,21
747,72,1,5751,78
1643,54,3,6501,30
380,49,1,7201,37
3082,96,4,7102,17
1460,45,1,2502,27
592,88,3,7801,20
3199,95,4,3804,26
548,88,1,7801,8
3083,96,4,7101,17
296,46,1,3203,5
923,67,1,6401,63
2693,89,4,1901,22
1307,57,3,402,16
177,54,2,6501,30
1959,18,3,3702,9
2458,57,4,402,16
2678,89,4,1901,23
2233,96,2,7103,13
105,59,3,3001,18
2727,59,4,3001,19
