block_seq_num,block_var_num,block_route_num,block_run_num
3919969-1,1,16,7
3919968-1,1,16,6
3919967-1,1,16,5
3919966-1,1,16,4
3919965-1,1,16,3
3919964-1,1,16,2
3919963-1,1,16,1
3919962-1,1,24,7
3919961-1,1,29,6
3919960-1,1,29,5
3919959-1,1,29,12
3919958-1,1,29,8
3919957-1,1,29,4
3919956-1,1,29,10
3919955-1,1,29,3
3919954-1,1,29,13
3919953-1,1,29,7
3919952-1,1,29,2
3919951-1,1,29,9
3919950-1,1,29,11
3919949-1,1,29,1
3919948-1,1,9,10
3919947-1,1,125,5
3919946-1,1,16,14
3919945-1,1,64,7
3919944-1,1,64,1
3919943-1,1,64,2
3919942-1,1,64,3
3919941-1,1,64,4
3919940-1,1,64,5
3919939-1,1,64,6
3919938-1,1,64,8
3919937-1,1,64,9
3919936-1,1,64,10
3919935-1,1,64,11
3919934-1,1,64,12
3919933-1,1,64,13
3919932-1,1,64,14
3919931-1,1,26,17
3919930-1,1,121,8
3919929-1,1,121,7
3919928-1,1,16,13
3919927-1,1,16,12
3919926-1,1,9,11
3919925-1,1,9,12
3919924-1,1,121,6
3919923-1,1,122,3
3919922-1,1,122,4
3919921-1,1,9,13
3919920-1,1,113,3
3919919-1,1,123,4
3919918-1,1,121,10
3919917-1,1,122,2
3919916-1,1,123,2
3919915-1,1,121,9
3919914-1,1,121,13
3919913-1,1,122,5
3919912-1,1,122,1
3919911-1,1,123,3
3919910-1,1,121,5
3919909-1,1,121,12
3919908-1,1,121,4
3919907-1,1,121,3
3919906-1,1,121,14
3919905-1,1,121,11
3919904-1,1,123,1
3919903-1,1,122,6
3919902-1,1,121,2
3919901-1,1,123,5
3919900-1,1,121,1
3919899-1,1,123,6
3919898-1,1,122,7
3919897-1,1,121,15
3919896-1,1,24,19
3919895-1,1,24,18
3919894-1,1,24,16
3919893-1,1,124,4
3919892-1,1,124,3
3919891-1,1,24,15
3919890-1,1,24,13
3919889-1,1,124,2
3919888-1,1,124,1
3919887-1,1,24,6
3919886-1,1,24,5
3919885-1,1,24,4
3919884-1,1,24,2
3919883-1,1,24,1
3919882-1,1,24,10
3919881-1,1,24,8
3919880-1,1,24,3
3919879-1,1,9,3
3919878-1,1,25,2
3919877-1,1,37,5
3919876-1,1,37,4
3919875-1,1,37,8
3919874-1,1,125,6
3919873-1,1,9,14
3919872-1,1,125,4
3919871-1,1,125,3
3919870-1,1,125,2
3919869-1,1,125,1
3919868-1,1,113,5
3919867-1,1,9,9
3919866-1,1,37,7
3919865-1,1,37,6
3919864-1,1,37,3
3919863-1,1,37,1
